,index,annual_sharperatio,max_drawdown,carmarratio
801,LOB,1.237879144999491,0.22930744236472567,2.97318561027441
802,LOCO,-1.4760788556862883,0.3693604254380354,-0.986029107557775
803,LOGC,-2.2172641128982757,0.7405714307512556,-1.115146182796134
804,LOGI,-0.6463511107064344,0.40517501564325187,-0.705865879431104
805,LOPE,-0.2461949451241158,0.3707855340219136,-0.4043972518481641
806,LOTZ,-2.2405323973108486,0.8065040587370329,-1.1048236679251129
807,LOVE,0.7044525148990772,0.4016018498400752,0.7606105033502306
808,LPLA,1.147969812713292,0.15018522751475416,2.2895043984020576
809,LPSN,-1.2843962913604845,0.5259694740908731,-1.0038855212985207
810,LPTH,-0.6121968448228121,0.5806451639484751,-0.8001156869546032
811,LQDA,0.9638407763284453,0.2809667203672712,1.8584047176033898
812,LQDT,0.6187963072832859,0.23450647681323622,1.0368041343543068
813,LRCX,0.8891696301343647,0.168532959715335,1.7579918386390758
814,LRFC,1.3100366662448402,0.16738505107295898,3.065284756357517
815,LRMR,-0.5695527662194514,0.6194064956228009,-0.9477566170857541
816,LSBK,0.3513187572947015,0.09466326510704359,0.474372673334407
817,LSEA,-1.3371758985846078,0.3038936268198946,-1.2884374730847759
818,LSTR,0.6417578052560219,0.15035282258939875,0.9119495062426013
819,LTCH,-0.21881906566623796,0.5682613559580054,-0.6444480275869546
820,LTCHW,0.4762277288702821,0.67955799916312,-0.48266670598354966
821,LTRN,-1.4323737146827027,0.6359979892766536,-1.1344954868368318
822,LTRX,0.9501123953693732,0.29789472881116363,1.7641532448416883
823,LTRY,-0.5386570492259115,0.6698305162332825,-0.8833571905806116
824,LULU,0.12214224718195214,0.22366520184399985,-0.0648692313321744
825,LUMO,-2.2481595294990946,0.7058326254001119,-1.1416766474110112
826,LUNA,-0.4446070840646464,0.3385580384803095,-0.6993721377171961
827,LUNG,-1.2009403915567651,0.5152526073310918,-1.0867946464317788
828,LUXA,-1.0343491162711544,0.21760002136230472,-0.8614053448042338
829,LUXAU,-1.1146754076836949,0.2711370404247382,-0.8753470599331534
830,LX,-0.4203057914224795,0.7311906369938568,-0.7441469249936357
831,LXEH,0.28361404500799603,0.31806375380338325,-0.006310357273283657
832,LYFT,-0.20677085003239468,0.4331114097084042,-0.4838046822590051
833,LYL,-0.39821583169695146,0.6370106755526941,-0.9723225227189004
834,LYRA,-1.2873019136004367,0.6968838353755494,-1.0211389703421196
835,LYTS,-0.6281263328587011,0.35865381529345186,-0.8292954001073791
836,MACK,-1.3390409616099892,0.5207824046395672,-1.0840951108979104
837,MANH,0.9185381976521024,0.20660468229081708,1.6208253945951732
838,MAPS,-0.9885298134431434,0.7877477525590777,-0.9437511615494948
839,MASI,-0.0006917497894263753,0.2529819267096389,-0.15234299105883162
840,MASS,-0.7733388109577304,0.6687898214700119,-0.9442015188596613
841,MATW,0.3321124421319548,0.24317382823801914,0.2389040958231503
842,MBIN,1.1912564658267075,0.22510047442636416,1.910999725039173
843,MBNKP,0.13570463682572959,0.11679883914388234,0.009619920145215078
844,MBRX,-2.217543178664222,0.7383177682892301,-1.0603824563433921
845,MBUU,0.1369725254298175,0.24892856319213996,-0.09083195724469774
846,MBWM,0.5099679449388321,0.1420911677428196,0.698944765663155
847,MCBS,2.174672860213844,0.1088929866689835,6.724371445696283
848,MCFT,0.1932418936689462,0.2581547008531816,0.01844593472893202
849,MCHP,0.3712175007794982,0.1504419145060737,0.4733871193343643
850,MCHX,0.32154444190823994,0.2701149574909266,0.1563119382375294
851,MCRB,-0.7949199827489412,0.784950070865754,-1.012903230418908
852,MCRI,0.4138455459700266,0.19033032188361898,0.5098815642321928
853,MDB,0.8662736071750127,0.4147216296398252,0.9977222401733763
854,MDGL,-0.6475164640910346,0.46602221690393075,-0.7764138256492524
855,MDJH,-1.1241817939476806,0.7442196587554881,-0.9063442651805484
856,MDRR,-0.7062125780672185,0.6317689574187857,-1.0361147790833938
857,MDWD,-0.4803883174116644,0.6119929421373674,-0.7909240367736673
858,MEDP,1.1944554063058774,0.14523446684373242,3.208437972482025
859,MEIP,-0.0041647254104405255,0.43855424815363486,-0.3578564095498314
860,MELI,-0.3296452845751156,0.41860215178111726,-0.5999384164253446
861,MESA,-0.07612518643047086,0.6465683017990739,-0.38361957820479453
862,MESO,-1.0526105994463812,0.5607305911814127,-1.0000566255607821
863,META,0.6683601652542778,0.17886239510995372,1.0141159428866962
864,METC,2.223798201780019,0.2983008572925746,9.9852758640564
865,MFH,0.16218759715551906,0.7396313466584044,-0.44174752736306483
866,MFIC,0.38154305748734724,0.13621035161708583,0.41255212870337615
867,MGIC,0.8917044224068877,0.1574899261879268,2.041919179145056
868,MGNX,-0.27182044287798135,0.5430816671736156,-0.6027406605901142
869,MGRC,-0.016030511395281187,0.20284068886113804,-0.17668517475952933
870,MGTA,-0.7649209987371784,0.6639586260299982,-0.8663217940281175
871,MGTX,0.6267158614319547,0.2974868481014803,0.9421367777979439
872,MGYR,1.0522488106290564,0.15136760628513424,2.589272445624009
873,MHLD,0.7796901997484618,0.22279790633892638,1.168594169107682
874,MIND,-0.804060486475208,0.42471040196361176,-0.8267788520982277
875,MIRM,-0.4130434230352408,0.3412621629351613,-0.8244232780159535
876,MIST,-0.0250347525341229,0.3546011687016011,-0.33777100366903473
877,MITO,-0.3737438700421608,0.6399082558773732,-0.8300555500595448
878,MKSI,0.10292289524793286,0.2829861070530607,-0.0942200504889022
879,MKTX,-1.075773164113614,0.3799540802626301,-0.917557914630332
880,MLAC,-1.8972883512465544,0.04734306345241901,-2.403873581597961
881,MLCO,-0.9657680588263254,0.5852782995353962,-0.939862272820941
882,MLTX,-0.872234197235479,0.22501964186415624,-0.8837497305929883
883,MLVF,-0.7794612027432263,0.17690283815490404,-1.07977055119383
884,MMLP,0.928752849908543,0.24355298060454622,2.1745974460009996
885,MMYT,0.041880872814686956,0.35579810020798175,-0.3839193085093709
886,MNKD,0.550195199649821,0.397504450267543,0.2934979233765778
887,MNPR,-0.6922196300526215,0.6905660515707466,-0.837772666293665
888,MNRO,-0.043689744859750926,0.23641457573354652,-0.24855078988480944
889,MNTS,-1.0487906933455027,0.8408225517172203,-0.9985030248406591
890,MNTV,-0.5578369481984617,0.38100434817192286,-0.7829093622045338
891,MODV,-0.15521644883819577,0.3538893369275742,-0.5199045786262568
892,MOMO,-0.763662097015732,0.5189535264769121,-0.873285407587868
893,MOR,-3.119278077782757,0.6975349838358241,-1.1259717433834995
894,MORF,0.7191335996579232,0.3812383773926411,1.3052140061106945
895,MORN,1.0810707114998703,0.12559857709672995,2.694040736582447
896,MOTS,-0.39110603084317025,0.8150406455212005,-0.796348751164069
897,MPWR,0.6536534487296621,0.24021530795898882,0.7875448466471195
898,MRAM,1.0500670529233096,0.29870126206344716,3.5061347353643955
899,MRBK,1.5856525027244859,0.11424439135373898,4.773179008753829
900,MRCC,1.1219231347111271,0.1173913375191068,1.8471841376089122
901,MRCY,-1.1269898065168917,0.42092791059544765,-0.9634300613075613
902,MRM,-0.44097148313278595,0.6049868719594591,-1.1314809515169506
903,MRNA,1.3123644668555217,0.5046938044538982,2.1520282737552807
904,MRNS,0.034742466172651455,0.47428572023069704,-0.27401116174349455
905,MRSN,-1.4879176250977495,0.7552264760602815,-0.9898713935429184
906,MRTN,-0.507893692882545,0.16951017670739976,-0.9340907613107947
907,MRUS,1.159266635571135,0.37141803666552,2.418147615933604
908,MRVI,0.977217689390779,0.3939444362790081,1.3087948983217792
909,MRVL,1.2823975157838257,0.25032721600635244,2.731471926871061
910,MSBI,0.6726568083245347,0.2018379362565107,0.8353403904433964
911,MSFT,1.9366727844365021,0.07633833857474048,5.953050726689448
912,MSPR,-1.6005056323722278,0.0876048108560672,-1.399390821973005
913,MSTR,0.3812917486872858,0.53199199703001,-0.09467922871933623
914,MSVB,-0.13727205498404382,0.13128831225849513,-0.3821588561869516
915,MTACU,-0.9365059795253006,0.14655178508917133,-0.9812881320760853
916,MTBC,-0.930946288750816,0.5349620864241045,-0.8663145043941725
917,MTC,-0.6271769295022507,0.8214833685046483,-0.8696032997698814
918,MTCR,-1.9276295879647187,0.9373776938382656,-1.0953679203655424
919,MTEM,-1.3158119982337626,0.7487437240974393,-0.9170739644097048
920,MTLS,-1.2901710454820665,0.7452647815708591,-0.9922173176749128
921,MTRX,-1.0608493375417851,0.5523809402708023,-0.92780171570398
922,MTSI,0.6940084732205244,0.2665286243911775,0.8580829715737771
923,MVIS,0.32229584502931974,0.7692648336691466,-0.283963698373877
924,MVST,-0.7534998540893192,0.7305224474482612,-1.012268633636703
925,MXL,1.5122257390881817,0.1774028327248377,4.981968468451342
926,MYFW,0.8533450832251455,0.1586363532326437,1.6618912264689745
927,MYGN,0.33657770019684075,0.33083754182440905,0.1736621277916985
928,MYMD,0.5342206878552935,0.5368956688202193,0.19117902466831788
929,MYPS,-1.501277823417091,0.6693121737618128,-1.0498645973942575
930,MYPSW,-1.055205843071705,0.807142846195065,-1.0514671663243356
