YearMonth,Index,floatShares
2021-02,VRRM,162360000.0
2021-03,VRRM,162360000.0
2021-04,VRRM,162410000.0
2021-05,VRRM,162410000.0
2021-06,VRRM,162410000.0
2021-07,VRRM,156060000.0
2021-08,VRRM,156060000.0
2021-09,VRRM,156060000.0
2021-10,VRRM,156230000.0
2021-11,VRRM,156230000.0
2021-12,VRRM,156230000.0
2022-01,VRRM,156230000.0
2022-02,VRRM,156230000.0
2022-03,VRRM,156230000.0
2022-04,VRRM,153180000.0
2022-05,VRRM,153180000.0
2022-06,VRRM,153180000.0
2022-07,VRRM,125645732.0
2020-01,SNDL,91880000.0
2020-02,SNDL,91880000.0
2020-03,SNDL,91880000.0
2020-04,SNDL,91880000.0
2020-05,SNDL,91880000.0
2020-06,SNDL,91880000.0
2020-07,SNDL,91880000.0
2020-08,SNDL,91880000.0
2020-09,SNDL,91880000.0
2020-10,SNDL,238020100.0
2020-11,SNDL,238020100.0
2020-12,SNDL,238020100.0
2021-01,SNDL,238020100.0
2021-02,SNDL,238020100.0
2021-03,SNDL,238020100.0
2021-04,SNDL,238020100.0
2021-05,SNDL,238020100.0
2021-06,SNDL,238020100.0
2021-07,SNDL,238020100.0
2021-08,SNDL,238020100.0
2021-09,SNDL,238020100.0
2021-10,SNDL,238020100.0
2021-11,SNDL,238020100.0
2021-12,SNDL,238020100.0
2022-01,SNDL,238020100.0
2022-02,SNDL,238020100.0
2022-03,SNDL,238020100.0
2022-04,SNDL,238020100.0
2022-05,SNDL,238020100.0
2022-06,SNDL,238020100.0
2022-07,SNDL,238020100.0
2020-01,MCRI,18190000.0
2020-02,MCRI,18190000.0
2020-03,MCRI,18190000.0
2020-04,MCRI,18190000.0
2020-05,MCRI,18190000.0
2020-06,MCRI,18190000.0
2020-07,MCRI,18260000.0
2020-08,MCRI,18260000.0
2020-09,MCRI,18260000.0
2020-10,MCRI,18440000.0
2020-11,MCRI,18440000.0
2020-12,MCRI,18440000.0
2021-01,MCRI,18520000.0
2021-02,MCRI,18520000.0
2021-03,MCRI,18520000.0
2021-04,MCRI,18600000.0
2021-05,MCRI,18600000.0
2021-06,MCRI,18600000.0
2021-07,MCRI,18740000.0
2021-08,MCRI,18740000.0
2021-09,MCRI,18740000.0
2021-10,MCRI,18700000.0
2021-11,MCRI,18700000.0
2021-12,MCRI,18700000.0
2022-01,MCRI,18880000.0
2022-02,MCRI,18880000.0
2022-03,MCRI,18880000.0
2022-04,MCRI,18890000.0
2022-05,MCRI,18890000.0
2022-06,MCRI,18890000.0
2022-07,MCRI,13199550.0
2020-01,LMAT,20180000.0
2020-02,LMAT,20180000.0
2020-03,LMAT,20180000.0
2020-04,LMAT,20230000.0
2020-05,LMAT,20230000.0
2020-06,LMAT,20230000.0
2020-07,LMAT,20340000.0
2020-08,LMAT,20340000.0
2020-09,LMAT,20340000.0
2020-10,LMAT,20530000.0
2020-11,LMAT,20530000.0
2020-12,LMAT,20530000.0
2021-01,LMAT,20610000.0
2021-02,LMAT,20610000.0
2021-03,LMAT,20610000.0
2021-04,LMAT,21660000.0
2021-05,LMAT,21660000.0
2021-06,LMAT,21660000.0
2021-07,LMAT,21840000.0
2021-08,LMAT,21840000.0
2021-09,LMAT,21840000.0
2021-10,LMAT,21930000.0
2021-11,LMAT,21930000.0
2021-12,LMAT,21930000.0
2022-01,LMAT,21950000.0
2022-02,LMAT,21950000.0
2022-03,LMAT,21950000.0
2022-04,LMAT,21960000.0
2022-05,LMAT,21960000.0
2022-06,LMAT,21960000.0
2022-07,LMAT,19329408.0
2020-01,WMG,70000000.0
2020-02,WMG,70000000.0
2020-03,WMG,70000000.0
2020-04,WMG,88550000.0
2020-05,WMG,88550000.0
2020-06,WMG,88550000.0
2020-07,WMG,88580000.0
2020-08,WMG,88580000.0
2020-09,WMG,88580000.0
2020-10,WMG,111170000.0
2020-11,WMG,111170000.0
2020-12,WMG,111170000.0
2021-01,WMG,116920000.0
2021-02,WMG,116920000.0
2021-03,WMG,116920000.0
2021-04,WMG,116920000.0
2021-05,WMG,116920000.0
2021-06,WMG,116920000.0
2021-07,WMG,123070000.0
2021-08,WMG,123070000.0
2021-09,WMG,123070000.0
2021-10,WMG,137160000.0
2021-11,WMG,137160000.0
2021-12,WMG,137160000.0
2022-01,WMG,137200000.0
2022-02,WMG,137200000.0
2022-03,WMG,137200000.0
2022-04,WMG,137200000.0
2022-05,WMG,137200000.0
2022-06,WMG,137200000.0
2022-07,WMG,108164589.0
2020-01,OTLK,91380000.0
2020-02,OTLK,91380000.0
2020-03,OTLK,91380000.0
2020-04,OTLK,127180000.0
2020-05,OTLK,127180000.0
2020-06,OTLK,127180000.0
2020-07,OTLK,127180000.0
2020-08,OTLK,127180000.0
2020-09,OTLK,127180000.0
2020-10,OTLK,127180000.0
2020-11,OTLK,127180000.0
2020-12,OTLK,127180000.0
2021-01,OTLK,173610000.0
2021-02,OTLK,173610000.0
2021-03,OTLK,173610000.0
2021-04,OTLK,175340000.0
2021-05,OTLK,175340000.0
2021-06,OTLK,175340000.0
2021-07,OTLK,224260000.0
2021-08,OTLK,224260000.0
2021-09,OTLK,224260000.0
2021-10,OTLK,224280000.0
2021-11,OTLK,224280000.0
2021-12,OTLK,224280000.0
2022-01,OTLK,225940000.0
2022-02,OTLK,225940000.0
2022-03,OTLK,225940000.0
2022-04,OTLK,226140000.0
2022-05,OTLK,226140000.0
2022-06,OTLK,226140000.0
2022-07,OTLK,109530252.0
2020-01,SCOR,70210000.0
2020-02,SCOR,70210000.0
2020-03,SCOR,70210000.0
2020-04,SCOR,71220000.0
2020-05,SCOR,71220000.0
2020-06,SCOR,71220000.0
2020-07,SCOR,72790000.0
2020-08,SCOR,72790000.0
2020-09,SCOR,72790000.0
2020-10,SCOR,75790000.0
2020-11,SCOR,75790000.0
2020-12,SCOR,75790000.0
2021-01,SCOR,80690000.0
2021-02,SCOR,80690000.0
2021-03,SCOR,80690000.0
2021-04,SCOR,82170000.0
2021-05,SCOR,82170000.0
2021-06,SCOR,82170000.0
2021-07,SCOR,82200000.0
2021-08,SCOR,82200000.0
2021-09,SCOR,82200000.0
2021-10,SCOR,90440000.0
2021-11,SCOR,90440000.0
2021-12,SCOR,90440000.0
2022-01,SCOR,91990000.0
2022-02,SCOR,91990000.0
2022-03,SCOR,91990000.0
2022-04,SCOR,91990000.0
2022-05,SCOR,91990000.0
2022-06,SCOR,91990000.0
2022-07,SCOR,64850691.0
2020-01,USWS,11390000.0
2020-02,USWS,11390000.0
2020-03,USWS,11390000.0
2020-04,USWS,11390000.0
2020-05,USWS,11390000.0
2020-06,USWS,11390000.0
2020-07,USWS,11960000.0
2020-08,USWS,11960000.0
2020-09,USWS,11960000.0
2020-10,USWS,13930000.0
2020-11,USWS,13930000.0
2020-12,USWS,13930000.0
2021-01,USWS,15010000.0
2021-02,USWS,15010000.0
2021-03,USWS,15010000.0
2021-04,USWS,15560000.0
2021-05,USWS,15560000.0
2021-06,USWS,15560000.0
2021-07,USWS,4450000.0
2021-08,USWS,4450000.0
2021-09,USWS,4450000.0
